pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
cloudbeds,Fatwave Surf,B,desktop,3,FALSE,Could not complete booking flow to payment page,study_b,0.0,3,1,4,0,44922,44.9,0,False,False,False,True,True
nightsbridge,Lairds Lodge,A,desktop,3,TRUE,,,11.0,5,1,2,0,23156,23.2,1,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,B,desktop,2,FALSE,Could not find NightsBridge date display,select_dates,11.0,10,0,2,0,57234,57.2,0,False,False,False,True,True
nightsbridge,Atlantic View,A,desktop,2,TRUE,,,14.0,8,1,2,0,42877,42.9,1,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,B,mobile,3,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,9398,9.4,0,False,False,False,True,True
cloudbeds,The LINE Hotel,B,desktop,1,FALSE,CAPTCHA on homepage,homepage,0.0,0,0,1,0,5791,5.8,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,B,desktop,1,TRUE,,,14.0,3,1,3,9,29767,29.8,0,False,False,False,True,True
plekify,Simbavati,B,desktop,3,TRUE,,,4.5,4,0,1,0,53546,53.5,0,False,False,False,True,True
siteminder,Ivy City Hotel,B,mobile,2,TRUE,,,14.0,3,1,3,9,26645,26.6,0,False,False,False,True,True
cloudbeds,Saltline Hotel,B,mobile,1,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,1,4,0,222683,222.7,0,False,False,False,True,True
cloudbeds,Saltline Hotel,A,desktop,2,TRUE,,,9.5,3,1,3,0,45116,45.1,1,False,False,False,True,True
siteminder,Ivy City Hotel,B,desktop,1,TRUE,,,14.0,3,1,3,9,27991,28.0,0,False,False,False,True,True
plekify,Simbavati,A,mobile,2,TRUE,,,0.0,3,0,1,0,42474,42.5,1,False,False,False,True,True
